C,BAND,SPEC,AGE,SEX,BP,MONTH,DAY,YEAR,TIME,NET
N,245106643,NOCA,2,U,0,6,26,2011,103,5
N,245106644,NOCA,2,U,0,6,26,2011,113,10
N,245106645,NOCA,2,U,0,7,2,2011,93,7
N,245106646,NOCA,2,U,0,7,16,2011,103,2
N,245106647,NOCA,2,U,0,7,16,2011,113,6
N,245106648,NOCA,2,F,0,7,24,2011,83,1
N,245106649,NOCA,2,M,0,7,24,2011,93,8
N,245106650,NOCA,1,F,4,7,24,2011,103,9
N,245106651,NOCA,2,F,0,7,24,2011,103,10
N,245106652,NOCA,5,F,5,8,6,2011,73,5
N,245106653,NOCA,2,F,0,8,6,2011,73,5
N,245106654,NOCA,2,M,0,8,6,2011,73,7
N,245106655,NOCA,2,F,0,8,6,2011,73,3
N,245106656,NOCA,2,M,0,8,6,2011,103,10
N,245106657,NOCA,2,F,0,8,6,2011,113,5
N,245106658,NOCA,2,F,0,8,6,2011,113,10
N,245106659,NOCA,2,M,0,8,6,2011,113,9
N,245106660,NOCA,1,M,0,5,13,2012,64,10
N,245106661,NOCA,1,F,3,5,13,2012,64,3
N,245106662,NOCA,1,M,0,5,13,2012,74,1
N,245106663,NOCA,1,M,0,5,13,2012,84,9
N,245106664,NOCA,1,F,4,5,13,2012,94,8
N,245106665,NOCA,1,M,0,5,13,2012,94,8
N,245106666,NOCA,1,M,0,5,13,2012,114,4
N,245106667,NOCA,1,M,0,5,13,2012,114,6
N,245106668,NOCA,1,F,4,5,21,2012,63,4
N,245106669,NOCA,1,F,3,5,21,2012,73,2
N,245106670,NOCA,1,F,3,5,21,2012,93,7
N,245106671,NOCA,1,M,0,5,21,2012,113,2
N,245106672,NOCA,1,F,4,6,2,2012,93,4
N,245106673,NOCA,1,M,0,6,2,2012,113,3
N,245106674,NOCA,1,F,4,6,2,2012,113,3
N,245106675,NOCA,1,F,3,6,16,2012,62,6
N,245106676,NOCA,2,U,0,6,16,2012,72,8
N,245106677,NOCA,2,M,0,6,16,2012,82,5
N,245106678,NOCA,2,F,0,6,16,2012,102,5
N,245106679,NOCA,1,M,0,6,16,2012,112,4
N,245106680,NOCA,1,F,4,6,24,2012,82,8
N,245106681,NOCA,1,F,4,6,24,2012,102,1
N,245106682,NOCA,2,U,0,7,7,2012,103,4
N,245106683,NOCA,2,F,0,7,7,2012,103,4
N,245106684,NOCA,4,U,0,7,14,2012,63,4
N,245106685,NOCA,2,M,0,7,14,2012,73,9
N,245106686,NOCA,2,F,0,7,14,2012,83,8
N,245106687,NOCA,2,F,0,7,14,2012,83,10
N,245106688,NOCA,2,F,0,7,14,2012,83,
N,245106689,NOCA,2,M,0,7,14,2012,93,3
N,245106690,NOCA,2,F,0,7,14,2012,113,6
N,245106691,NOCA,1,M,0,7,14,2012,113,10
N,245106692,NOCA,2,M,0,7,28,2012,63,8
N,245106693,NOCA,2,M,0,7,28,2012,93,6
N,245106694,NOCA,2,M,0,7,28,2012,103,4
N,245106695,NOCA,2,U,0,7,28,2012,113,6
N,245106696,NOCA,2,U,0,8,7,2012,73,6
N,245106697,NOCA,2,M,0,8,7,2012,73,2
N,245106698,NOCA,2,F,0,8,7,2012,93,3
R,198103036,NOCA,1,F,4,5,13,2012,94,10
R,245106655,NOCA,1,F,5,5,13,2012,104,3
R,245106661,NOCA,1,F,4,5,21,2012,63,4
R,245106610,NOCA,1,F,3,5,21,2012,73,8
R,245106635,NOCA,1,M,0,5,21,2012,83,4
R,245106665,NOCA,1,M,0,5,21,2012,83,7
R,245106636,NOCA,1,M,0,6,2,2012,63,2
R,245106635,NOCA,1,M,0,6,2,2012,103,
R,245106667,NOCA,1,F,4,6,2,2012,103,4
R,245106666,NOCA,1,M,0,6,2,2012,103,1
R,245106635,NOCA,1,M,0,6,24,2012,72,4
R,245106670,NOCA,1,F,3,6,24,2012,82,7
R,198103008,NOCA,1,M,0,7,7,2012,73,5
R,198102991,NOCA,1,F,1,7,7,2012,83,5
R,198103094,NOCA,1,M,0,7,7,2012,93,5
R,245106661,NOCA,1,F,1,7,7,2012,103,4
R,245106670,NOCA,1,F,4,7,14,2012,63,7
R,245106682,NOCA,1,M,0,7,14,2012,93,3
R,198102991,NOCA,1,F,3,7,14,2012,103,5
R,245106667,NOCA,1,M,0,7,14,2012,103,6
R,245106661,NOCA,1,F,4,7,14,2012,113,4
R,198103036,NOCA,1,F,4,7,28,2012,83,10
R,245106673,NOCA,1,M,0,7,28,2012,93,3
R,245106612,NOCA,1,F,4,7,28,2012,93,6
R,245106635,NOCA,1,M,0,8,7,2012,73,4
R,245106636,NOCA,1,M,0,8,7,2012,73,2
R,245106684,NOCA,1,U,0,8,7,2012,93,4
N,245106699,NOCA,1,F,0,5,16,2013,64,7
N,245106700,NOCA,1,F,0,5,16,2013,64,4
N,245113301,NOCA,1,M,0,5,16,2013,74,3
N,245113302,NOCA,1,M,0,5,21,2013,64,4
N,245113303,NOCA,1,M,0,5,21,2013,74,8
N,245113304,NOCA,1,M,0,5,21,2013,74,10
N,245113305,NOCA,1,F,4,6,8,2013,63,5
N,245113306,NOCA,1,M,0,6,8,2013,103,7
N,245113307,NOCA,1,F,4,6,15,2013,63,8
N,245113308,NOCA,1,F,4,6,15,2013,63,4
N,245113309,NOCA,0,F,2,6,15,2013,83,1
N,245113310,NOCA,0,M,0,6,15,2013,83,5
N,245113311,NOCA,1,F,3,6,22,2013,64,7
N,245113312,NOCA,1,F,4,7,6,2013,91,6
N,245113313,NOCA,2,F,0,7,6,2013,104,5
N,245113314,NOCA,1,M,0,7,6,2013,104,8
N,245113315,NOCA,2,F,0,7,6,2013,104,10
R,245106691,NOCA,1,M,0,5,16,2013,64,6
R,245106661,NOCA,1,F,5,5,16,2013,74,4
R,245106610,NOCA,1,F,3,5,21,2013,64,7
R,245106681,NOCA,1,F,4,5,21,2013,74,7
